"RT @krassenstein: Trump has been President for 484 days.  We currently have troops in combat in Syria, Iraq and Afghanistan.  Trump has yet…","Sentiment(polarity=0.0, subjectivity=0.4)"
"RT @MrFilmkritik: Never forget that the Eric Trump Foundation was caught funneling cancer research money directly to his father.

They stol…","Sentiment(polarity=0.1, subjectivity=0.4)"
RT @RandPaul: I applaud @realDonaldTrump for taking action to stop federal money funding abortions. https://t.co/RciUDxXdfK,"Sentiment(polarity=0.1, subjectivity=0.1)"
"RT @drawandstrike: People need to quit saying the FBI 'placed a spy/informant *INSIDE* the Trump campaign.'

That's not what happened. 

Th…","Sentiment(polarity=0.0, subjectivity=0.0)"
Trump Speaks At Peace Officers' Memorial Service - Full Event https://t.co/P6vVe0j6Wg via @YouTube,"Sentiment(polarity=0.35, subjectivity=0.55)"
"RT @BillyBaldwin: You thought #AaronSchlossberg was bad?
Behold... #SummerBerlinger

This US Marine seemingly attempting to get a working m…","Sentiment(polarity=-0.6999999999999998, subjectivity=0.6666666666666666)"
RT @williamlegate: A reminder that the first executive order Trump signed rolled back the Obama-era policy prohibiting mentally disturbed i…,"Sentiment(polarity=0.049999999999999996, subjectivity=0.17777777777777778)"
@DanaVanderVeer @EDVERSiTY @janieqjones @justinjm1 @NetworkJunkyz Can we not use that nickname for Trump? Sparky is… https://t.co/NahOqnFYtf,"Sentiment(polarity=0.0, subjectivity=0.0)"
RT @TimothyAbbey626: Seeing all this corruption and cheating from Obama’s DOJ and Hillary’s campaign just goes to prove that God hasn’t giv…,"Sentiment(polarity=0.0, subjectivity=0.0)"
"RT @reg1776: FBI Spy-Op Exposed, Trump Campaign Infiltrated By Longtime CIA And MI6 Asset | Zero Hedge https://t.co/i4Ryv7MLZC","Sentiment(polarity=0.0, subjectivity=0.0)"
"RT @Shareblue: ""If Cambridge Analytica helped Russia target American voters, and if the Trump campaign knew about it, that would be clear e…","Sentiment(polarity=0.05000000000000001, subjectivity=0.19166666666666665)"
RT @farai: Trump Administration Sought Negative Information on Haitians to justify revoking TPS immigration protection https://t.co/pOTrrJ2…,"Sentiment(polarity=-0.3, subjectivity=0.4)"
RT @GrahamLedger: Tonight: The Mounting Mueller Probe with Andy McCarthy. Plus: The media's war on White House women. Also: More anti-trump…,"Sentiment(polarity=0.25, subjectivity=0.25)"
"RT @CNNTonight: ""It's clear that the White House is running a fog machine -- trying to confuse things. ... Obviously, it's the vigilance of…","Sentiment(polarity=0.03333333333333334, subjectivity=0.29444444444444445)"
RT @1Romans58: Trump has lost close to a BILLION dollars since taking office.  Meanwhile you lowlifes manage to rack up millions of dollars…,"Sentiment(polarity=0.0, subjectivity=0.0)"
